key;label_de;label_en
transparency;Transparenz;Transparency
intervenability;Intervenierbarkeit;Intervenability
unlinkability;Unverkettbarkeit;Unlinkability
confidentiality;Vertraulichkeit;Confidentiality
integrity;Integrität;Integrity
availability;Verfügbarkeit;Availability
